Date Found,Company/Brand,Website,What They Sell,Business Stage/Size Signals,E-commerce Platform,Support/Help-Center Setup,Evidence Order-Tracking/Support Is Relevant,Evidence of Meaningful Order/Customer Activity,Signs of Operational Pain or Automation Opportunity,Existing Automation/Support Tools,Likely Decision-Maker Role,Decision-Maker Name (if verifiable),Public Professional Contact Path,Why This Fits the Founding Client Offer,Possible Objection / Reason NOT to Pursue,Priority (HIGH PRIORITY / POSSIBLE / NOT A FIT),Stage,Personalization Detail,Drafted Outreach Message,Date Contacted,Notes / Next Action
2026-09-25,Jonas Paul Eyewear (parent: Luminous Optical Co.),jonaspauleyewear.com (parent: luminousoptical.com),"Prescription eyewear for children, designed to make kids feel confident wearing glasses; parent company recently added TOMS-branded optical/sunglasses via a licensing deal.","Founded 2013 by Ben & Laura Harrison after their son Jonas was born with a rare disorder causing blindness/glaucoma and underwent 21 surgeries (VERIFIED FACT — the company's own origin story, corroborated by Forbes and multiple press profiles). Ranked #166 on the 2019 Inc. 5000 and #573 on the 2020 Inc. 5000 (VERIFIED FACT, Inc.com) — consistent with a real, growing small-to-mid-size business, though an exact current revenue figure is UNKNOWN. In September 2025 the Harrisons launched Luminous Optical Co. as a new parent portfolio company and acquired the TOMS Eyewear license (VERIFIED FACT, per Vision Monday and Women In Optometry trade press) — a major, very recent structural change.","Not directly confirmed; Gorgias's customer base skews heavily Shopify (REASONABLE INFERENCE, unconfirmed).","Gorgias + Klaviyo integration, confirmed via Gorgias's own published case study (VERIFIED FACT — gorgias.com/customers/jonas-paul-eyewear, found via search). A ""home try-on kit"" program is referenced in a separate Grapevine Surveys case study (VERIFIED FACT).","Physical shipped prescription eyewear for kids — a category with natural fit, prescription-accuracy, and delivery-timing questions.","The brand's #BuySightGiveSight giving campaign is described as having reached 1M+ kids/families worldwide (VERIFIED FACT per company materials) — a reach metric, not a direct sales-volume figure, but signals real scale.","The Gorgias case study states the team saw a 28% increase in ticket volume, addressed via a 96% reduction in first-response time after implementing Gorgias (VERIFIED FACT, direct case-study statistic) — documents a real historical support-volume strain, though it's a problem Gorgias has already partly solved, so the pitch should focus on deeper AI resolution, not basic helpdesk consolidation (same posture as the Beardbrand pitch in batch 1).",Gorgias + Klaviyo (VERIFIED FACT).,Founder & CEO (Ben Harrison) / Co-Founder & COO (Laura Harrison) of Luminous Optical Co.,"Ben Harrison (VERIFIED FACT — multiple press profiles, his own LinkedIn).","linkedin.com/in/benkharrison/ (VERIFIED FACT — his own active profile, now titled ""Founder & CEO of Luminous Optical Co."").","Founder-led with no evidence of outside VC control found; a documented historical ticket-volume pain point; already running the Gorgias+Klaviyo stack this offer is designed to plug into; an unusually strong, verifiable personal story for personalization.","The very recent (Sept 2025) launch of a multi-brand parent company and acquisition of a licensed legacy brand (TOMS) could mean the business has scaled past a single-founder ""yes alone"" decision — current team size, revenue, and whether Ben Harrison still personally approves a purchase this size are all UNKNOWN and should be confirmed on a first call. Scope any pitch specifically to the Jonas Paul kids-eyewear DTC line, not the whole new portfolio.",HIGH PRIORITY,QUALIFIED,"The Jonas Paul origin story (son's diagnosis and 21 surgeries) combined with the newsworthy, independently reported September 2025 Luminous Optical Co./TOMS license launch — a genuine, timely, true detail.","Channel: LinkedIn, linkedin.com/in/benkharrison/. First message: ""Hi Ben — congrats on launching Luminous Optical Co. and bringing the TOMS Eyewear license on board, that's a big step. I build AI systems that handle repetitive support requests — like order-status and shipping questions — automatically inside the helpdesk a brand already uses. I noticed Jonas Paul's own case study mentioned a real jump in ticket volume at one point, which is exactly the kind of thing this tends to help with, especially with more happening across the portfolio now. I put together a short (2-minute) demo showing how it works — happy to send it over if it's useful, no pitch attached."" Follow-up: ""No pressure — just following up in case this got buried. Happy to send the short demo over if useful, or no worries either way.""",,"Before sending, confirm current company size/revenue and whether Ben Harrison is still the practical single decision-maker post-Luminous-Optical-Co. launch. Could not browse the site directly (egress blocked) — verify a live chat widget and current helpdesk status independently."
2026-09-25,Tuft + Paw,tuftandpaw.com,"Modern/designer cat furniture (the ""Cove"" litter box, ""Milo"" cat tree, scratchers), plus cat toys and litter.","Founded 2016 by Jackson Cunningham, who left a tech job to start the company (VERIFIED FACT — his own LinkedIn/Crunchbase bio). A 2023 Inc. 5000 honoree (VERIFIED FACT, Inc.com profile). Revenue/employee estimates vary widely across sources: Starter Story cites ""~$300K/month"" (≈$3.6M/yr); business-intelligence aggregators show revenue ""$1M-$10M"" and employee counts ranging from 11 (Tracxn) to 24 (PitchBook) to 35 ""across 3 continents"" (LeadIQ); one bio separately describes the company as having ""grown to over 8 figures in sales"" (all REASONABLE INFERENCE, wide variance across sources, not independently confirmed — treat like Beardbrand's conflicting figures in batch 1).","Shopify (VERIFIED FACT — Shogun's published case study, ""Tuft + Paw Lifts Store Conversion Rate by 13% With Custom Shopify Blog Content"").","A support/order email (support@tuftandpaw.com) is referenced across review sites (VERIFIED FACT-adjacent, found via search, not visited directly). A live ""chat system"" is referenced in a customer complaint (see below) but the specific helpdesk vendor is UNKNOWN.","Physical shipped cat furniture, including large/bulky items (cat trees, litter boxes) that are prone to shipping-damage and delivery-timing questions.","2023 Inc. 5000 honoree status (VERIFIED FACT) implies a multi-year track record of real, substantial revenue growth.","A Trustpilot review found via search describes customer service response taking ""over a week,"" with the brand's ""chat system"" behaving like ""just slow email response,"" plus difficulty getting a return accepted for an incorrectly-sized product (VERIFIED FACT — a specific, direct complaint found in search results) — a real, concrete order/returns-support-strain signal, though this research pass found only this one corroborating data point, not a pattern.","UNKNOWN specific helpdesk vendor (a chat tool clearly exists per the complaint, but its name wasn't identified).",Founder.,Jackson Cunningham (VERIFIED FACT).,"Two candidate LinkedIn URLs surfaced — linkedin.com/in/jackson-🐈-cunningham-04286994/ (shows recent 2025 activity, including a post titled ""Big news from the Tuft & Paw team"") and ca.linkedin.com/in/jackson-cunningham-1a88a9132 (also attributed to him as ""Founder at Tuft + Paw""). UNKNOWN which is canonical — per the same caution applied to Beardbrand's founder in batch 1, this should be manually verified by the operator before sending a connection request.","Single, identifiable founder with no evidence of a large executive layer; Shopify confirmed; a real, specific complaint about slow support/returns handling; genuine Inc. 5000-scale business.","The 2025 ""big news"" LinkedIn post (headline only, content not read in this research) could signal a funding round, acquisition, or leadership change that would change whether Jackson Cunningham still decides alone — check this before outreach. Revenue/employee figures are unusually inconsistent across sources.",HIGH PRIORITY,QUALIFIED,"The founder's story of leaving a tech job to build Tuft + Paw, and its 2023 Inc. 5000 honoree status — a true, verifiable, complimentary detail, referenced instead of the single Trustpilot complaint directly.","Channel: LinkedIn (operator to confirm correct profile first — see caution above). First message: ""Hi Jackson — Tuft + Paw's take on actually good-looking cat furniture is great, and making the 2023 Inc. 5000 says a lot about the growth. I build AI systems that handle repetitive customer-support requests — like order-status and return questions — automatically inside the support tool a brand already uses, so routine questions get resolved fast and anything trickier still goes to a real person. I put together a short (2-minute) demo of how it works — happy to send it over if it's ever useful, no pitch attached."" Follow-up: ""No pressure — just following up in case this got buried. Happy to send the short demo over if useful, or no worries either way.""",,"FIRST confirm which LinkedIn profile is current/correct, and look into the ""big news"" post before reaching out — it may change the qualification. Confirm actual current revenue/team size and helpdesk vendor on first real contact."
2026-09-25,DT Footwear (Designer Therapeutic Footwear),dtfootwear.com,"Extra-wide (6E-14E, up to size 20) therapeutic and orthopedic footwear — athletic shoes, dress shoes, sandals, boots, slippers — designed for medical foot conditions (diabetes, edema, plantar fasciitis, Charcot, arthritis, bunions).","Founded and run by Ron Heinlein, who describes over 50 years in the footwear business, trained in the therapeutic/orthopedic footwear world (VERIFIED FACT — his own bio on the company's site, corroborated by ZoomInfo/Crunchbase titling him CEO/Owner). Based in Canton, Georgia (VERIFIED FACT). No employee count or revenue figure was found in this research pass (UNKNOWN).","Not directly confirmed; UNKNOWN. Given the small-business profile, Shopify or a similar SMB platform is plausible but this is only a weak REASONABLE INFERENCE, not verified.","Customers can call, email, or text to reach ""Fitment Specialists"" per company materials found in search (VERIFIED FACT-adjacent — found via search, not a direct site visit); a package-tracking integration (AfterShip) is listed for dtfootwear.com on AfterShip's own brand directory (VERIFIED FACT, found via search). No live chat widget or named helpdesk software (Gorgias/Zendesk) was confirmed either way (UNKNOWN).","Physical shipped medical/orthopedic footwear to a customer base with real medical needs (diabetes, mobility issues) — a category where fit accuracy and delivery timing carry unusually high stakes and urgency for customers.","An active Trustpilot review presence (VERIFIED FACT — a Trustpilot page for dtfootwear.com exists with multiple reviews, exact count not captured in this pass) and an active company blog personally authored by Ron Heinlein (VERIFIED FACT).","A Trustpilot complaint found via search describes the owner (""Ron"") declining to cover return shipping costs on a customer complaint, and notes that special-order/handcrafted shoes require extended production time, especially around factory closures like Chinese New Year (VERIFIED FACT — a specific, direct complaint found in search results) — a real signal that shipping-timing and returns-cost questions are a recurring point of friction for this business.","UNKNOWN specific helpdesk software; AfterShip appears to be used for shipment tracking (REASONABLE INFERENCE from AfterShip's own brand directory listing dtfootwear.com, not independently confirmed as currently active).",Owner & CEO.,Ron Heinlein (VERIFIED FACT).,"linkedin.com/in/ron-heinlein-b5b7891a3/ (VERIFIED FACT — his own profile, ~272 connections, found directly by name and title).","A true solo-owner-operator with over 50 years of personal, hands-on involvement in the niche; a real, documented complaint about shipping/returns handling; a customer base (medical/mobility-need shoppers) for whom fast, accurate order-status answers plausibly matter more than average; small enough that Ron Heinlein alone would decide.","No revenue, employee count, or confirmed e-commerce/helpdesk platform was found — less public evidence to confidently place it in the $1-5M band than the other two HIGH PRIORITY prospects. His older-generation, hands-on business style may also mean he's personally comfortable handling support himself and could be resistant to adding AI to a very personal, medically-sensitive customer relationship — worth reading carefully on a first call.",HIGH PRIORITY,QUALIFIED,"Ron Heinlein's 50+ years in the therapeutic/orthopedic footwear trade and his personal decision to build DT Footwear specifically for people with real medical fit needs — referenced respectfully, not the Trustpilot complaint verbatim.","Channel: LinkedIn, linkedin.com/in/ron-heinlein-b5b7891a3/. First message: ""Hi Ron — DT Footwear's focus on genuinely wide, therapeutic footwear (and the decades of experience behind it) really stands out. I build AI systems that handle repetitive support questions — like order-status, sizing, and return questions — automatically inside whatever support setup a brand already uses, so someone reaching out about a fit issue or a shipment gets a fast, accurate answer without sitting in a queue. I put together a short (2-minute) demo of how it works — happy to send it over if it's ever useful, no pitch attached."" Follow-up: ""No pressure — just following up in case this got buried. Happy to send the short demo over if useful, or no worries either way.""",,"Confirm e-commerce platform, current team size, and whether any helpdesk tool is in use before finalizing scope. Given the medically-sensitive customer base, be prepared for the founder to want a clear answer on how AI handoffs to a human are handled."
2026-09-25,Red Clay Hot Sauce,redclayhotsauce.com,"Chef-driven Southern hot sauces, hot honeys, and specialty spicy salts.","Co-founded by Molly Fienning (CEO) and chef Geoff Rhyne (VP Business Development) (VERIFIED FACT). As of late 2022: ~6 employees including the co-owners, and an estimated ~$2M in revenue (VERIFIED FACT-adjacent, per a Post and Courier local-business article found via search); raised a $3M capital round around the same time (VERIFIED FACT, same source) — pushes plausibly toward or above the top of the $1-5M band, current figures UNKNOWN.","UNKNOWN; not confirmed via search (REASONABLE INFERENCE of Shopify given category norms, not verified).","UNKNOWN specific tool; Klaviyo confirmed for email/SMS (VERIFIED FACT, Klaviyo's own published case study).",Physical shipped food/condiment products.,"Sold via own site plus national/regional retail (Whole Foods, Publix) (VERIFIED FACT) — real, established distribution alongside DTC.","Molly Fienning is quoted in the Klaviyo case study explaining why they moved off Mailchimp (VERIFIED FACT quote) — this documents an email-marketing pain point, not a support-ticket pain point. No support/ticket-volume-specific complaint or hiring signal was found in this pass (UNKNOWN).",Klaviyo (VERIFIED FACT); helpdesk tool UNKNOWN.,Co-Founder & CEO.,Molly Fienning (VERIFIED FACT).,"linkedin.com/in/mollyfienning/ (VERIFIED FACT, confirmed via multiple independent references).","Small, founder-led team (~6 people as of 2022); CEO is a single, accessible, highly public decision-maker; real physical-shipping relevance; Klaviyo already in the stack.","No support-specific pain signal was found — the automation case is inferred from category/size, not documented. Molly Fienning is simultaneously a co-founder of a second company (Babiators, kids' sunglasses), which may limit her bandwidth to evaluate a new vendor right now. The $3M capital raise means outside investors exist.",POSSIBLE,QUALIFIED,Not yet drafted (reserved for HIGH PRIORITY per instruction).,Not yet drafted.,,"Look for a support-specific pain signal (job posting, review complaint) before upgrading. Confirm current revenue/team size and helpdesk platform on any first contact."
2026-09-25,Vape Superstore (UK),vapesuperstore.co.uk,"Vaping devices, e-liquids, and vape accessories (UK online + multi-location retailer).","Operated by Easytek Ltd, whose sole director since Jan 2015 is Edward Swain, who also serves as Managing Director of Vape Superstore (VERIFIED FACT, UK Companies House officer filings). Related UK-registered entities (""Vape Superstore Soho Ltd,"" ""Vape Superstore White Cross Limited"") suggest the operation includes physical retail locations in addition to e-commerce (REASONABLE INFERENCE from Companies House entity names, not independently confirmed) — points to a more complex, multi-location business than a single founder-led online store.",UNKNOWN specific platform; the brand also uses Algolia for on-site search/personalization per Algolia's own published case study (VERIFIED FACT) — indicates a moderately sophisticated tech investment beyond a bare-bones small store.,"Gorgias helpdesk confirmed via Gorgias's own case study (VERIFIED FACT, gorgias.com/customers/vape-superstore).",Physical shipped consumer products with age-restriction/verification steps that likely generate extra support volume around delivery.,"The Gorgias case study describes ticket volume growing from ~40/day to over 200/day during the COVID lockdown period (VERIFIED FACT, but a historical/dated data point from 2020-2021, not confirmed as current).",The above ticket-surge data point is real but dated; no current (2024-2026) complaint or hiring signal was found in this pass (UNKNOWN whether the strain persists today).,"Gorgias, plus Recharge referenced in the same case study (VERIFIED FACT); Algolia for search (VERIFIED FACT).",Managing Director.,"Edward Swain (VERIFIED FACT, Companies House).","uk.linkedin.com/in/edward-swain-ab5430a8 (VERIFIED FACT, found directly by name/title match).","Named, contactable decision-maker; Gorgias already confirmed in the stack; a real (if dated) documented ticket-surge history.","(a) Vaping/e-cigarette products are a regulated, age-restricted, reputationally sensitive category — the operator should decide deliberately whether to pursue this category rather than by default. (b) Multiple related corporate entities suggest a multi-location retail operation that may be larger and more organizationally complex than a solo-founder ""yes alone"" profile — current size is UNKNOWN and should be treated with real caution rather than assumed to fit.",POSSIBLE,QUALIFIED,Not yet drafted.,Not yet drafted.,,Confirm current company size and whether the 2020-era ticket-surge pain still applies before pursuing; operator should explicitly decide on the vape-category question first.
2026-09-25,The Collagen Co. (Australia),thecollagen.co (also us.thecollagen.co),"Collagen peptide powder supplements and related wellness products (gut health, immunity, sleep formulas).","Founded September 2020 by brothers Izaak and Josh Woodley and childhood friend Lachlan Arter (VERIFIED FACT, multiple Australian press profiles). Described in press as a ""booming $5 million eCommerce collagen powder start-up"" (VERIFIED FACT quote, currency likely AUD not USD — unconfirmed which, so the true USD-equivalent size is UNKNOWN); one business-data aggregator lists 50 employees (REASONABLE INFERENCE, single source, notably higher than the founder-led profile this offer targets and not independently corroborated).","Shopify Plus (VERIFIED FACT, per multiple press/case-study references).","Contact email (hello@thecollagen.co / hello.us@thecollagen.co) and a public FAQ/returns page confirmed (VERIFIED FACT, found via search). No specific helpdesk software (Gorgias/Zendesk) was confirmed (UNKNOWN).","Physical shipped supplement products, often on a repeat/subscription cadence.",Klaviyo's own published case study describes The Collagen Co. unifying email/SMS marketing at meaningful scale (VERIFIED FACT).,"None specifically documented for support (UNKNOWN) — available material covers marketing/CRM, not tickets.",Klaviyo (VERIFIED FACT); helpdesk UNKNOWN.,Co-Founder & CEO.,Izaak Woodley (VERIFIED FACT).,"au.linkedin.com/in/izaak-woodley (VERIFIED FACT, found directly).","Named, contactable co-founder/CEO; Shopify Plus + Klaviyo confirmed; real press-covered growth story.","The 50-employee figure (if accurate) would place this well above the founder-led target profile — three co-founders plus a sizeable team may mean decisions are no longer a single person's call; it's also an Australian business, so time zone and AUD/USD size ambiguity both need clarifying; no support-specific pain signal was found.",POSSIBLE,QUALIFIED,Not yet drafted.,Not yet drafted.,,"Confirm actual current employee count and USD-equivalent revenue, and identify the actual support tool, before treating as more than a possible lead."
2026-09-25,Methodical Coffee,methodicalcoffee.com,"Specialty coffee — roasted beans sold DTC/subscription, plus wholesale and grocery, alongside 3 physical cafés in Greenville, South Carolina.","Co-owned by Marco Suarez, David Baker, and Will Shurtz (VERIFIED FACT, found via search); runs 3 cafés plus a roastery (VERIFIED FACT, company's own materials). No independent revenue or employee-count figure was found (UNKNOWN) — a small, real, local multi-location business, but size relative to the $1-5M band is not confirmed either way.","Shopify Plus (REASONABLE INFERENCE — referenced in one secondary source describing their tech stack, not independently corroborated by a primary case study).","Recharge (for subscriptions) and Gorgias (for support) were both referenced in the same secondary source (REASONABLE INFERENCE, weakly sourced — this claim came from a general blog/aggregator reference rather than a Gorgias- or Methodical-published case study, so confidence is lower than for the other Gorgias-confirmed prospects in this batch).",Physical shipped coffee (a category with routine shipping/freshness-timing questions) alongside a subscription model.,"Operates 3 established cafés plus DTC/wholesale/grocery channels (VERIFIED FACT) — a real, multi-channel, ongoing business, though a specific order-volume metric was not found.",None found (UNKNOWN).,Recharge + (reportedly) Gorgias — see confidence caveat above.,Co-Owner (unclear which of the three would specifically approve a purchase this size — UNKNOWN).,"Marco Suarez, David Baker, and/or Will Shurtz (VERIFIED FACT as co-owners; specific LinkedIn profiles UNKNOWN/not confirmed in this pass).",UNKNOWN — no confirmed LinkedIn URL found for any of the three co-owners in this research pass.,"Small, local, multi-founder team; real physical-shipping relevance; a plausible Gorgias+Recharge+Shopify stack if the (weakly sourced) claim holds up.","The Gorgias claim is thinly sourced and needs independent confirmation; no decision-maker contact path was found; with 3 co-owners plus 3 physical café locations, this may function more like a small hospitality group than a pure single-founder DTC brand, complicating a ""founder says yes alone"" close.",POSSIBLE,QUALIFIED,Not yet drafted.,Not yet drafted.,,Independently verify the Gorgias claim and find a specific decision-maker's contact path before treating this as more than a weak lead.
2026-09-25,Kidsy,kidsy.co,"Discounted overstock, open-box, and liquidated baby/kids products from other brands and retailers (an off-price recommerce marketplace, not a single manufactured product line).","Founded by Shraysi Tandon (a former business journalist/documentary director) and Sinan Sari (a software engineer), launched from beta in September 2023 (VERIFIED FACT, TechCrunch and other press coverage). Raised an oversubscribed ~$1M pre-seed round in March 2024 from investors including Impellent Ventures and Hustle Fund (VERIFIED FACT). Reported hitting $1M in revenue about 6 months after launch and ""seven times growth"" in its first year (VERIFIED FACT-adjacent, per company/press statements) — real but very early-stage; likely at or just above the low end of the $1-5M target band, with a small VC-backed team (REASONABLE INFERENCE).",UNKNOWN — not confirmed via search.,"UNKNOWN specific tool; the company is a retailer of others' goods, so a support/returns workflow necessarily exists, but its structure wasn't confirmed.","Physical shipped consumer goods (used/open-box baby and kids items), a category where condition-related and shipping questions are especially likely.","~$1M revenue within 6 months of launch and ""7x"" first-year growth (VERIFIED FACT-adjacent per press).","BBB complaints found via search describe customers receiving used items instead of new ones and frustration with refund/return-process responsiveness (VERIFIED FACT — BBB complaint records referenced in search results) — a real, documented support-strain signal.",UNKNOWN.,Founder & CEO.,Shraysi Tandon (VERIFIED FACT).,UNKNOWN — no LinkedIn URL for her was confidently confirmed in this research pass; the operator should search her by name directly and verify manually before contacting.,"Founder-led, very small team; real order-volume and real, documented support complaints.","Kidsy is a multi-brand resale marketplace rather than a single manufacturer's DTC store, which is a structurally different (weaker) fit for the ""one brand's order-status workflow"" scope this offer targets. It is also VC-backed at a very early, pre-seed stage — outside investors exist even at this small size, and the business may be more focused on inventory/logistics scaling than on a support-automation purchase right now. No confirmed contact path exists yet.",POSSIBLE,QUALIFIED,Not yet drafted.,Not yet drafted.,,Find and verify Shraysi Tandon's actual LinkedIn profile before any outreach; clarify whether the offer's single-brand order-status scope actually fits a multi-vendor marketplace model.
2026-09-25,Keap Candles,keapcandles.com,"Hand-poured, natural-wax scented candles in reusable/compostable packaging, plus a candle subscription.","Founded 2015 by Harry Doull and Stephen Tracy, both ex-Google employees, launched via a Kickstarter that raised $57,427 against a $25,000 goal (VERIFIED FACT). Based in Williamsburg, Brooklyn. A certified B-Corp (VERIFIED FACT). One aggregator lists 1-10 employees (REASONABLE INFERENCE, single source) — consistent with a small, real, established artisan business, plausibly at or below the lower end of the $1-5M band; exact revenue is UNKNOWN.",UNKNOWN — not confirmed via search.,"A support/order email (TheLab@KeapCandles.com) and a public FAQ/help page are confirmed (VERIFIED FACT, found via search), including a stated 1-3 business day response commitment and shipment-confirmation emails with tracking numbers. No live chat widget was found (UNKNOWN/likely absent).","Physical shipped candles (fragile, heat-sensitive items — the BBB record even shows the company proactively handling a heatwave-melting issue), plus a subscription product.","Active retail wholesale placement (e.g., listed on Bloomist) and ongoing press coverage since 2015 (VERIFIED FACT) — a real, established small business, though no specific order-volume or review-count figure was found.","None found — the company's BBB file shows zero complaints on record (VERIFIED FACT), and available reviews are positive, including a specifically cited example of good proactive customer service during a shipping-heat issue. This is the main gap versus HIGH PRIORITY (same ""no documented pain"" pattern as Michael Gabriels/Angelus Direct in batch 1).",UNKNOWN specific tool beyond email.,"Co-Founder. (Notably, Harry Doull's LinkedIn title is ""Steward-Owner at Keap,"" suggesting the company may use a non-traditional ownership/governance structure — e.g., a perpetual-purpose trust or similar model — worth understanding before assuming a simple founder-decides dynamic.)",Harry Doull and/or Stephen Tracy (VERIFIED FACT as co-founders).,"linkedin.com/in/harry-doull-16775113/ (VERIFIED FACT, found directly by name/title).","Small, founder-led (well below the ""outgrown a yes"" line if the 1-10 employee figure holds); real physical-product shipping relevance; direct, confirmed contact path.","No documented support pain or complaint signal was found — the case for automation is inferred from category/size rather than evidenced. The ""Steward-Owner"" title suggests a possibly unconventional governance/ownership structure that should be understood before assuming Harry Doull can unilaterally approve a purchase.",POSSIBLE,QUALIFIED,Not yet drafted.,Not yet drafted.,,"Look for a support-hiring signal or complaint pattern before upgrading; clarify the ""Steward-Owner"" governance structure on a first call."
2026-09-25,Decent Candles (The Decent Candle Co.),decentcandle.com (Instagram: @decentcandleco),"Handmade, plant-based, minimal-packaging candles, ""no plastics used"" (VERIFIED FACT per the brand's own Instagram bio, found via search).","Based in Orlando, Florida (VERIFIED FACT, BBB profile). BBB file opened 11/4/2024 (VERIFIED FACT). No founder/owner name, employee count, or revenue figure could be identified despite multiple search attempts (Instagram, BBB, Florida Sunbiz corporate search) — genuinely UNKNOWN, not a guess.",UNKNOWN.,"UNKNOWN — no confirmed chat widget, help email, or helpdesk tool found.",Physical shipped handmade candles.,An active social/Trustpilot-adjacent presence with recent (October 2025) customer reviews exists (VERIFIED FACT that reviews exist; specific counts UNKNOWN).,"A recent (dated October 2025) customer complaint describes waiting about a month after ordering with no confirmation, following up over email with no response, and receiving an unfriendly reply only after reaching out twice via Instagram (VERIFIED FACT — a specific, dated, direct complaint found via search) — a real, recent, concrete support-strain signal, the strongest such signal found for this prospect.",UNKNOWN.,"Likely a solo founder/owner given the small, handmade-goods profile (REASONABLE INFERENCE from the brand's scale and voice, not confirmed).","UNKNOWN — despite real effort, no founder/owner name could be publicly identified in this research pass.",UNKNOWN — Instagram DM (@decentcandleco) is the only identifiable public channel found; no LinkedIn or named contact exists to verify.,"A real, small, active handmade-goods business with a specific, recent, documented support-responsiveness complaint — exactly the kind of pain signal this offer targets, if a decision-maker can be identified.","With no founder name and no professional contact path (Instagram DM only), this prospect cannot currently be reached in the way the README's outreach standard requires (a LinkedIn profile or a business contact form/email). It should stay POSSIBLE, not HIGH, until a name and a real contact path are found — do not guess at an owner's name to force this forward.",POSSIBLE,QUALIFIED,Not yet drafted (no confirmed decision-maker to address it to).,Not yet drafted.,,"Before any outreach, identify the owner's name (try the brand's own ""About"" page directly once the site can be browsed, or a Florida Sunbiz LLC officer search by exact entity name) and a professional contact path beyond Instagram DM."
